jd_no,text_job
0,"The Senior Automation Engineer - Power Systems is responsible for the design, development, and implementation of electrical systems, including generator controls, switchboards, AC/DC drives, Active Front Ends (AFE), and motor control systems. Key tasks include power system simulations, analysis of harmonics, and engineering for microgrid and utility-scale power systems. Required technical skills include extensive knowledge of electrical power systems, AC drive technology, PLC programming, and proficiency in MS Office Suite and AutoCAD Electrical. The role involves using standard field bus communication protocols such as Ethernet/IP, Profibus, and CANBUS. A degree in Electrical Engineering or Design and a minimum of 5 years of relevant experience are required, with 7+ years preferred. Experience in VFD drives, AFE systems, and power system design for industries like drilling, marine, and mining is advantageous. The position may require travel to remote locations, field support, and working in various weather conditions while adhering to safety protocols and using personal protective equipment (PPE)."
1,"Job Title: DISH Installation Technician - Field  
Company: DISH Network  

Responsibilities include delivering TV and Smart Home solutions, consulting homeowners on smart home possibilities, and ensuring a positive customer experience. Required skills include the ability to build rapport, work at heights (up to 40 feet), lift over 70 lbs, and possess a valid driver's license with a safe driving record. Tools and equipment provided include a DISH-supplied van and necessary installation tools. The role may require travel and is subject to a pre-employment screen, including a drug test. Compensation is $19.75 per hour, with guaranteed promotion after 6 months and performance incentives. Benefits include paid training, time off, medical and dental insurance, a 401(K) with company match, and tuition reimbursement. The position operates within the telecommunications and smart home installation industry."
2,"Job Title: Order Builder  
Company: Coca-Cola Bottling Company UNITED, Inc.  
Division: North Alabama  
Department: Oxford Warehouse Loading  
Work Schedule: M-F, 8 am until finished  
Salary: From $34,457 annually  

Responsibilities include filling customer orders using tickets or voice, manually moving products with pallet jacks, checking order accuracy, performing general housekeeping, and completing daily powered equipment inspections. The role requires identifying products by description and quantity, sorting materials on pallets, marking items with identifying information, and recording amounts received or distributed. 

Required skills include the ability to read, write, and speak English, maintain a neat appearance, and adhere to safety policies. A minimum age of 18 is necessary, along with the ability to lift up to 50 lbs and perform physical tasks such as standing, walking, bending, and squatting. Forklift and electric riding pallet jack experience is preferred. 

Education requirements include less than a high school diploma or up to one month of related experience or training. The position may require flexible scheduling, including weekends and holidays. Personal Protective Equipment (PPE) is required as per safety compliance."
3,"Job Title: Mountain Multimedia Journalist  
Company: KMGH (Denver7)  

Responsibilities include receiving assignments, evaluating news leads, gathering and verifying information through interviews and research, organizing material, and writing stories per editorial standards. The role involves shooting video and still photos, editing multimedia content for various platforms, appearing on TV, and collaborating with photojournalists and news producers. Required qualifications include a bachelor's degree in broadcast journalism or a related field, with 3+ years of experience preferred. Technical skills needed are computer literacy, videography, non-linear editing (preferably with Final Cut Pro), strong writing skills in broadcast and AP style, and proficiency in posting content online. The position requires self-motivation, the ability to work under deadlines, and the capability to lift up to 50 pounds. A valid driver's license and good driving record are necessary. The annual salary range is $80,000 - $85,000."
4,"Job Title: Licensed Practical Nurse (LPN)  
Company: BAYADA Home Health Care  

Core responsibilities include providing one-on-one patient care for clients of all ages and acuity levels, utilizing electronic charting through AlayaCare, and receiving clinical support. Required skills include a current valid nursing license in the U.S. and graduation from a qualified nursing program. The position involves flexible scheduling with 8, 10, or 12-hour shifts available on weekdays and weekends. Training is provided from day one, including in-office, home, and online training, as well as practice in simulation labs. Benefits include weekly pay, medical, dental, and vision coverage, company-paid life insurance, PTO, and a 401K plan. The role is situated within the home health care industry, which emphasizes delivering care in a home setting. Pay ranges from $30 to $35 per hour."
5,"Job Title: Human Resources Project Manager  
Company: Sunrise Systems, Inc.  
Role requires 30-40 hours per week in a hybrid model, with onsite work 1-2 days per week and up to 5 days during peak periods in May/June. Responsibilities include HR project management for operating model transformation, managing complex employee events, and engaging with senior leaders. Key tasks involve creating HR training programs and communications, maintaining project documentation (project plans, status reports, issue logs, change control), and managing project risks and issues. Required skills include 5+ years of HR project management experience, proficiency in Smartsheets or similar tools, and the ability to handle confidential information. Preferred qualifications include SHRM-CP and PMP certifications."
6,"Job Title: Clinical Paramedic  
Location: Garyville, Louisiana  
Company: Marathon Petroleum Corporation  

The Clinical Paramedic is responsible for administering and coordinating Occupational Health Services for employees and contractors at the Garyville LA Refinery Occupational Health Clinic. Key responsibilities include evaluating illnesses and injuries, providing follow-up care, conducting OSHA mandated medical surveillance exams, and performing drug and alcohol specimen collections. The role requires maintaining clinic schedules, ordering supplies, providing onsite training in emergency medical response, and acting as a subject matter expert for the local Emergency Response Team. Required qualifications include a High School Diploma or GED, an active Paramedic License, and 3-5 years of paramedic experience, preferably in an occupational health setting. Desired certifications include Drug Collections, Breath Alcohol Testing, Spirometry, First Aid, and CPR/AED. Familiarity with OSHA, DOT, ADA, HIPAA, FMLA, and Workers’ Compensation regulations is necessary. Skills required include blood work competence, strong problem-solving abilities, effective communication, and customer service skills. The position involves physical activities such as standing, walking, and lifting up to 30 pounds, within a fast-paced medical office environment. Less than 10% travel is expected."
7,"Job Title: CCTV/Access Control Installer

Responsibilities include the installation of electronic security systems such as alarm systems, cameras, digital video recorders, and access control systems. Required technical skills include at least 2 years of experience in CCTV, video surveillance, and alarm systems. Familiarity with technologies and tools such as DMP, Lenel, Bosch, Honeywell, Verint, March Networks, and Hanwha is essential. The role involves regional travel a few times a week and requires the ability to work independently. Candidates must pass a background check."
8,"Job Title: Java Architect  
Company: First Derivative  

Responsibilities include developing and architecting solutions using Java, with a focus on OOP concepts and RESTful API architecture. Required technical skills include over 15 years of Java proficiency, at least 8 years of experience with Spring Boot, Spring Security, Spring Data, and Spring MVC, as well as unit, integration, and BDD testing. Knowledge of RDBMS, particularly MS SQL Server, is necessary. Responsibilities also include authoring technical documentation, performance analysis, application tuning, and a strong understanding of design patterns and microservice architecture. Experience with Enterprise Integration Patterns (EIP), Apache Camel, Spring Integration, Kubernetes, and exposure to NoSQL databases are advantageous. The role involves working with KX technology, which is utilized for real-time data analysis in various industries, including financial services, high-tech manufacturing, automotive, oil and gas, utilities, and telecommunications."
9,"The Laboratory Operations (LabOps) Project Manager at Planet Pharma is responsible for overseeing projects related to the purchase, installation, and qualification of analytical instrumentation, equipment, and software. Key tasks include managing laboratory operations projects, collaborating with cross-functional teams from metrology, validation, quality control, analytical, quality assurance, and facilities operations, and ensuring timely procurement of necessary equipment. The role involves facilitating demonstrations of new laboratory systems, site planning for instrument installations, and collaborating with validation teams during qualification activities for GMP systems. Required skills include proficiency in Microsoft Project for documentation and project timelines, effective communication for project updates, and the ability to apply current Good Manufacturing Practices (cGMPs). The position may also involve producing project documentation such as charters, work breakdown structures (WBS), and presentations."
10,"Job Title: Commissioned Sales Associate  
Location: Palm Beach, FL  
Contract Type: Temporary (3 months, potential for extension)  
Salary: $22/hr + commission  

Core Responsibilities: Provide exceptional customer service, respond to inquiries, engage customers to assess needs, direct them to merchandise, meet sales targets, assist with daily retail operations, and maintain merchandise organization on the sales floor.  

Required Skills: Minimum 1 year of customer service and/or retail experience preferred, strong interpersonal skills, proficiency in POS systems is a plus, and ability to work flexible retail hours including days, evenings, weekends, and holidays.  

Physical Requirements: Prolonged standing/walking, and ability to lift and move products up to 25 pounds.  

Technologies: Use of handheld equipment and cash registers for transaction processing.  

Industry Context: Retail environment focused on creating an exceptional in-store experience for a diverse customer base."
11,"Research Intern position in the Organizational Research and Consulting Division at Fors Marsh focuses on supporting research and consulting projects for government contracts. Responsibilities include note-taking for interviews and focus groups, contributing to literature reviews, assisting with qualitative and quantitative data analysis, preparing research reports and presentations, and updating project-related documents. Required qualifications include completion or progress towards an advanced degree in social/behavioral science, business, or a related field, strong attention to detail, self-motivation, teamwork skills, and basic understanding of research methods. Proficiency in Microsoft PowerPoint, Word, and Excel is necessary. Preferred qualifications include experience with statistical software (e.g., SPSS, Stata) and writing research reports and proposals. The role is remote, requires U.S. citizenship, and has a commitment of 30 hours per week for three months, with compensation ranging from $25 to $35 per hour based on educational progress."
